pin_id,node_id,image_url,image_width,image_height,available_sizes,description,title,link,pin_url,board_name,pinner_username,dominant_color,is_story_pin,local_image_path
41095415345683816,UGluOjQxMDk1NDE1MzQ1NjgzODE2,https://i.pinimg.com/originals/af/54/33/af543396c89cf70ae3fdabb4a8d13cfe.jpg,760,1140,170x|236x|474x|736x|orig,The Buzziest Milan Fashion Week Spring/Summer 2026 Street Style Moments,,https://www.thezoereport.com/fashion/milan-fashion-week-spring-summer-2026-street-style,https://www.pinterest.com/pin/41095415345683816/,Fashion,katephillips524,#7b736f,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_41095415345683816.jpg
725361083751946294,UGluOjcyNTM2MTA4Mzc1MTk0NjI5NA==,https://i.pinimg.com/originals/62/c1/51/62c1513ce61671011bd05bd8ca986610.jpg,720,894,170x|236x|474x|736x|orig,,꧁𖦹꧂,,https://www.pinterest.com/pin/725361083751946294/,- 👕👖,kxylaaala,#717960,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_725361083751946294.jpg
808185095610246094,UGluOjgwODE4NTA5NTYxMDI0NjA5NA==,https://i.pinimg.com/originals/1d/8e/eb/1d8eeb8bb85fa1db66f6ea905f125194.jpg,554,554,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/808185095610246094/,メンズファッション,imsohappy691140,#454138,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_808185095610246094.jpg
3940718417692027,UGluOjM5NDA3MTg0MTc2OTIwMjc=,https://i.pinimg.com/originals/3b/ca/e3/3bcae355a68d6f71e85b3811d409fbe9.jpg,980,1470,170x|236x|474x|736x|orig,,,http://fannyekstrand.metromode.se/2017/09/09/a-new-york-minute/,https://www.pinterest.com/pin/3940718417692027/,Cherry Creative,kathrynfitz,#917967,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_3940718417692027.jpg
14918242511095626,UGluOjE0OTE4MjQyNTExMDk1NjI2,https://i.pinimg.com/originals/83/0e/2a/830e2abc86fbc75e1577b1b583c3650b.jpg,561,990,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/14918242511095626/,Looks,arantzasanmarti,#989ea7,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_14918242511095626.jpg
351912467191356,UGluOjM1MTkxMjQ2NzE5MTM1Ng==,https://i.pinimg.com/originals/56/d0/65/56d06527e8a9c2497978086bd3deeec9.jpg,2735,4096,170x|236x|474x|736x|orig,"A modelo está usando um trench coat com uma blusa social, gravata, meia-calça e bota.",ENSAIO NO CENTRO DO RIO DE JANEIRO,https://www.instagram.com/p/DNT1ZbYS9hB/?img_index=1,https://www.pinterest.com/pin/351912467191356/,Everbest,ricsfchow,#997651,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_351912467191356.jpg
502362533449036074,UGluOjUwMjM2MjUzMzQ0OTAzNjA3NA==,https://i.pinimg.com/originals/dc/3f/64/dc3f64531d08ba0b96f124967e5656fb.jpg,969,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/502362533449036074/,h.yelii,yyaada,#9a8e82,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_502362533449036074.jpg
1034702083125071946,UGluOjEwMzQ3MDIwODMxMjUwNzE5NDY=,https://i.pinimg.com/originals/cc/a6/a4/cca6a4e3f90932b1e79b103d772258fc.jpg,981,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/1034702083125071946/,aStyles👙,shnnneee,#887157,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_1034702083125071946.jpg
602426887678346346,UGluOjYwMjQyNjg4NzY3ODM0NjM0Ng==,https://i.pinimg.com/originals/64/8e/88/648e88d55564ee50cb85e99648d45372.jpg,963,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/602426887678346346/,555,berenic4657cantibane3,#626c62,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_602426887678346346.jpg
781726447855672252,UGluOjc4MTcyNjQ0Nzg1NTY3MjI1Mg==,https://i.pinimg.com/originals/2f/24/72/2f2472a4734557c2aece71756987321f.jpg,1200,1500,170x|236x|474x|736x|orig,,Bahar kombinleri,,https://www.pinterest.com/pin/781726447855672252/,autumn fashion (sonbahar modası),bluuedaffodil,#6d6366,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_781726447855672252.jpg
